"KontoID","Konto","Naziv","RokPlacanja"
"495","1120","Vrijednost proizvodnje koju obavlja kooperant","0"
"496","113","Obustavljena proizvodnja","0"
"497","1130","Neupotrebljiva proizvodnja","0"
"498","114","Poluproizvodi u doradi i obradi","0"
"499","1140","Poluproizvodi dati na doradu i obradu","0"
"500","115","NedovrSene usluge","0"
"501","1150","UtroSeni materijal za usluge","0"
"503","118","Odstupanje od cijena","0"
"504","119","Ispravka vrijednosti nedovrSene proizvodnje","0"
"506","12","GOTOVI PROIZVODI","0"
"507","120","Proizvodi u skladiStu","0"
"508","1200","Proizvodi u vlastitom skladiStu (razrada po potrebi, po skladiStima, grupama i vrsti prozivoda itd.)","0"
"509","1201","Proizvodi u tuDem skladiStu (razrada po potrebi)","0"
"511","121","Proizvodi u maloprodajnim objektima","0"
"512","1210","Proizvodi u prodavnicama (razrada po potrebi, po prodavnicama, grupama i vrsti proizvoda itd.)","0"
"513","122","Ukalkulisana razlika u cijeni","0"
"514","1220","Ukalkulisana razlika u cijeni proizovda u vl. prod. (razrada po potrebi, po prod., grup.proiz.)","0"
"2971","1221","Ukalkulisana razlika u cijeni proizvoda u skladiStu","0"
"515","123","Ukalkulisani PDV","0"
"516","1230","Ukalkulisani PDV u cijeni proizvoda u vl. prod. (razrada po potrebi, po prodavnicama, grupama i v","0"
"517","124","Proizvodi u komisionu i konsignaciji","0"
"518","1240","Proizvodi u komisionu (analitika po potrebi, komisionarima,vrsti proizvoda itd.)","0"
"519","1241","Proizvodi u konsignaciji (analitika po potrebi, komisionarima,vrsti proizvoda itd.)","0"
"520","125","Proizvodi izvan upotrebe","0"
"521","1250","Proizvodi izvan upotrebe zbog zastarjelosti","0"
"522","126","Proizvodi u obradi i doradi","0"
"523","1260","Proizvodi predati na obradu i doradu kod kooperanata","0"
"524","1261","Proizvodi predati na obradu i doradu kod ostalih lica","0"
"525","128","Odstupanje od cijena","0"
"526","1280","Odstupanje od planskih cijena proizvoda u skladiStu","0"
"532","129","Ispravka vrijednosti proizvoda","0"
"533","1290","Ispravka (usklaDivanje) vrijednosti proizvoda u skladiStu","0"
"534","1291","Ispravka (usklaDivanje) vrijednosti proizvoda u prodavnicama","0"
"535","1294","Ispravka (usklaDivanje) vrijednosti proizvoda datih u komision i konsignaciju","0"
"536","1295","Ispravka (usklaDivanje) vrijednosti proizvoda izvan upotrebe","0"
"537","1296","Ispravka (usklaDivanje) vrijednosti proizvoda u obradi i doradi","0"
"538","1298","Ispravka (usklaDivanje) vrijednosti ostalih proizvoda","0"
"539","13","ROBA","0"
"540","130","ObraCun troSkova nabavke robe","0"
"541","1300","Fakturna vrijednost robe po obraCunu dobavljaCa","0"
"542","1301","Zavisni troSkovi nabavke robe","0"
"543","1302","Carina i druge uvozne daZbine","0"
"546","1303","Akciza (troSarina) za uvezanu akciznu robu","0"
"548","1308","Ostali troSkovi nabavke robe","0"
"549","1309","ObraCun nabavke robe","0"
"550","131","Nekretnine nabavljene radi dalje prodaje","0"
"554","132","Roba u prodaji na veliko","0"
"555","1320","Roba u vlastitom skladiStu","0"
"3929","132001","Roba u vlastitom skladiStu (centralno skladiSte)","0"
"556","133","Roba u maloprodajnim objektima","0"
"557","1330","Roba u prodavnicama","0"
"3326","133001","Roba u prodavnici - Poljoprivredna apoteka","0"
"3327","133002","TrgovaCka roba - SkladiSte","0"
"559","134","Roba u tranzitu, komisionu i konsignaciji","0"
"560","1340","Roba u tranzitnoj prodaji","0"
"3328","134003","Roba u tranzitu","0"
"563","135","Roba na putu","0"
"564","136","Roba u obradi i doradi","0"
"566","1360","Roba na doradi i obradi","0"
"570","137","Ukalkulisana razlika u cijeni","0"
"571","1370","Ukalkulisana rzlika u cijeni robe u maloprodaji (razrada)","0"
"3329","137001","Ukalkulisana razlika u cijeni - Poljoprivredna apoteka","0"
"3330","137002","Ukalkulisana razlika u cijeni - SkladiSte trgovaCke robe","0"
"3331","137003","Ukalkulisana razlika u cijeni - Roba u tranzitu","0"
"572","1371","Ukalkulisana razlika u cijeni robe u veleprodaji (razrada)","0"
"3928","137101","Ukalkulisana razlika u cijeni robe u veleprodaji (centralno skladiSte)","0"
"2531","1372","Ukalkulisana razlika u cijeni robe u tranzitnoj prodaji (razrada)","0"
"573","138","Ukalkulisani PDV","0"
"574","1380","Ukalkulisani PDV u cijeni robe u maloprodaji (razrada po prodavnicama, grupama i vrsti proizvoda it","0"
"3332","138001","Ukalkulisani PDV - Poljoprivredna apoteka","0"
"3333","138002","Ukalkulisani PDV - SkladiSte trgovaCke robe","0"
"3334","138003","Ukalkulisani PDV - Roba u tranzitu","0"
"575","139","Ispravka vrijednosti robe","0"
"579","14","STALNA SREDSTVA I SREDSTVA OBUSTAVLJENOG POSLOVANJA NAMIJENJENA PRODAJI","0"
"2972","140","Nematerijalna  sredstva namijenjena prodaji","0"
"2973","141","ZemljiSte namijenjeno prodaji","0"
"2974","142","GraDevinski objekti namijenjeni prodaji","0"
"2975","143","Postrojenja i oprema namijenjeni prodaji","0"
"2976","144","Investicijske nekretnine namijenjene prodaji","0"
"2977","145","BiloSka sredstva namijenjena prodaji","0"
"2978","146","Ostala stalna sredstva namijenjena prodaji","0"
"2979","147","Sredstva obustavljenog poslovanja namijenjena prodaji","0"
"2980","149","Ispravka vrijednosti sredstava namijenjenih prodaji i obustavljenog poslovanja","0"
"2981","15","DATI AVANSI","0"
"2982","150","Dati avansi za zalihe i usluge povezanim pravnim licima","0"
"2983","151","Dati avansi za zalihe i usluge ostalim pravnim licima","0"
"4041","1512","Dati avansi Plastex doo, GraCanica","0"
"2984","159","Ispravka vrijednosti datih avansa","0"
"2217","2","GOTOVINA, KRATKOROCNA POTRAZIVANJA I KRATKOROCNI PLASMANI","0"
"581","20","GOTOVINA I GOTOVINSKI EKVIVALENTI","0"
"582","200","Transakcijski raCuni - domaCa valuta","0"
"583","2000","Transakcijski raCuni u bankama u zemlji (razrada po bankama)","0"
"2337","20001","PBS - Transakcijski raCun","0"
"4013","20002","Raiffeisen Bank - Transakcijski raCun","0"
"588","2009","Prelazni transakcijski raCuni","0"
"589","201","Transakcijski raCuni - strana valuta","0"
"590","2010","Devizni raCuni u bankama u zemlji (subanalitika po bankama/valuti)","0"
"3978","20101","DEVIZNI PBS Izvod","0"
"3336","20109","Devizni raCun - prelazni konto","0"
"593","202","Izdvojena novCana sredstva","0"
"3716","2028","Izdvojena novCana sredstva zadruge namjene","0"
"602","203","Akreditivi - domaCa valuta","0"
"612","204","Akreditivi - strana valuta","0"
"615","205","Blagajne - domaCa valuta","0"
"616","2050","Glavna blagajna","0"
"623","206","Blagajne - strana valuta","0"
"624","2060","Glavna devizna blagajna","0"
"628","207","Gotovinski ekvivalenti","0"
"2985","2070","Cekovi","0"
"637","2071","Mjenice","0"
"644","2072","TekuCa visokolikvidna ulaganja","0"
"648","2073","Vrijednosnice (markice,kartice i sl.), razrada po vrsti","0"
"649","2078","Ostali novCani ekvivalenti","0"
